Zeitstempel,Did you play the game Digimon World for the Playstation 1?,How old are you?,Which gender do you identify with?,Which peripheral device do you prefer for gaming?,What device do you prefer for gaming?,Was this game your first contact with the Digimon franchise?,Did you read the manual before playing the game?,Did you finish the game?,Did you finish with 100 prosperity points (recruit every Digimon to join the city)?,How would you rate the difficulty of the game?,How would you rate this game overall?,How would you rate the combat system of this game?,A new quest-journal would help identifying the current objectives of the game.,"Items need concrete values that indicate how much something changes after being applied. For example turning ""Makes Digimon a bit full"" into ""Makes Digimon a bit full (+20 Food Points)"".",The game needs additional progress bars for food or toilet needs.,The progressbar for happiness and discipline should not be divided into two separate progressbars. ,Health- and manapoints should be permanently displayed on the HUD.,Items lost upon losing a heart should be shown to the player.,There should be an indicator that shows how much time passes after training or other activities that take a certain amount of time.,Buttons that can be pressed to interact should be displayed on the HUD.  ,The clock should have a hand / pointer instead of a point indicating the current hour.,Scolding should be removed completly from the game.,A minimap should be implemented that helps navigating through the game world.,The minimap should show additional information. For example where npcs, food or the nearest toilet is.,The player should be able to select a gender.,It should be possible to give the character a new look.,There should be more interactions during the battle.,The battle could be a rhythm-based system.,There should be an ingame tutorial instead of a manual.
10.1.2021 13:59:08,Yes,20-24,Female,Mouse and Keyboard,PC,Yes,No,No,No,3,2,2,4,5,4,4,3,4,5,4,5,3,5,5,4,4,5,3,4
10.1.2021 14:10:25,Yes,25-29,Male,It depends on the videogame,PC,I am not sure,No,Yes,Yes,5,5,2,4,4,1,3,3,4,4,4,4,1,4,4,5,3,1,2,3
10.1.2021 14:13:15,Yes,30-34,Male,Both equally,PC,I am not sure,No,Yes,Yes,4,5,4,4,4,4,3,2,3,3,3,4,3,3,3,4,4,4,3,3
10.1.2021 14:15:32,Yes,20-24,Male,It depends on the videogame,PC,Yes,I am not sure,Yes,Yes,4,4,4,5,4,5,2,3,5,4,5,4,2,4,4,5,5,5,2,4
10.1.2021 14:16:34,Yes,25-29,Male,It depends on the videogame,Console,No,No,Yes,No,4,5,5,4,3,2,4,2,4,4,5,3,1,3,2,4,4,3,1,4
10.1.2021 14:16:35,Yes,25-29,Male,It depends on the videogame,It depends on the videogame,Yes,No,Yes,No,2,5,3,2,3,3,4,2,5,3,2,2,2,3,2,4,3,2,1,2
10.1.2021 14:17:42,Yes,25-29,Male,Controller,Both equally,No,No,No,No,4,4,3,5,5,5,3,3,5,5,4,4,1,4,5,1,2,4,1,3
10.1.2021 14:18:01,Yes,25-29,Male,It depends on the videogame,Console,Yes,No,Yes,Yes,4,5,3,4,5,5,1,5,5,3,3,3,1,4,2,5,3,4,1,3
10.1.2021 14:19:05,Yes,20-24,Male,It depends on the videogame,PC,Yes,No,No,No,3,3,2,4,3,4,4,3,4,4,4,3,2,4,4,3,3,5,4,5
10.1.2021 14:19:22,Yes,25-29,Male,It depends on the videogame,PC,I am not sure,No,Yes,Yes,4,5,3,4,4,4,3,3,3,3,3,5,3,3,3,3,3,3,3,3
10.1.2021 14:19:30,Yes,30-34,Male,Mouse and Keyboard,PC,Yes,No,Yes,I am not sure,4,4,3,2,1,3,2,3,5,4,3,3,1,4,5,3,4,2,3,3
10.1.2021 14:19:36,Yes,25-29,Male,It depends on the videogame,Both equally,No,No,No,No,3,4,4,5,3,4,5,3,4,4,4,4,3,4,5,3,3,4,3,4
10.1.2021 14:20:18,Yes,20-24,Male,It depends on the videogame,PC,Yes,No,No,No,4,4,4,2,3,4,1,1,5,3,2,3,1,2,4,4,4,4,1,3
10.1.2021 14:20:33,Yes,25-29,Male,It depends on the videogame,Both equally,Yes,No,Yes,No,5,5,5,5,1,1,1,1,5,1,5,5,1,5,5,5,5,1,1,5
10.1.2021 14:21:32,Yes,25-29,Male,Both equally,PC,Yes,No,Yes,Yes,3,5,5,5,5,4,3,2,4,4,3,3,2,5,5,3,1,4,2,4
10.1.2021 14:21:39,Yes,20-24,Male,Mouse and Keyboard,PC,Yes,No,No,No,5,4,4,4,4,2,5,2,3,3,4,2,3,3,3,3,3,3,1,1
10.1.2021 14:21:57,Yes,30-34,Male,It depends on the videogame,Console,Yes,Yes,Yes,No,3,4,2,3,3,2,2,4,4,3,3,1,3,3,4,3,3,3,3,3
10.1.2021 14:23:40,Yes,25-29,Male,It depends on the videogame,PC,No,Yes,Yes,No,4,5,4,4,4,3,1,2,4,3,2,1,1,1,1,3,4,3,1,3
10.1.2021 14:25:14,Yes,30-34,Male,It depends on the videogame,Both equally,No,Yes,Yes,No,3,5,5,5,5,4,3,3,4,4,4,4,3,4,5,5,5,4,1,2
10.1.2021 14:27:07,Yes,25-29,Male,It depends on the videogame,It depends on the videogame,No,No,Yes,No,5,5,5,1,1,1,1,5,5,5,5,5,1,5,5,5,5,5,1,1
10.1.2021 14:27:18,Yes,25-29,Male,It depends on the videogame,It depends on the videogame,No,Yes,Yes,I am not sure,5,4,2,5,4,5,5,4,5,5,5,5,3,5,5,5,5,5,4,3
10.1.2021 14:28:03,Yes,25-29,Male,Mouse and Keyboard,PC,Yes,No,Yes,No,4,5,4,2,2,2,2,1,3,3,1,1,1,2,2,3,3,3,3,3
10.1.2021 14:28:28,Yes,25-29,Prefer not to say,It depends on the videogame,PC,No,No,Yes,Yes,3,5,3,4,4,2,2,2,4,4,4,3,1,3,3,3,3,2,1,3
10.1.2021 14:33:27,Yes,25-29,Male,It depends on the videogame,Both equally,I am not sure,Yes,Yes,Yes,3,4,2,3,4,4,1,3,4,3,3,3,1,3,5,3,3,3,1,3
10.1.2021 14:33:37,Yes,25-29,Male,Mouse and Keyboard,PC,Yes,No,Yes,Yes,3,5,5,3,3,3,3,5,3,3,3,3,3,5,3,3,3,3,3,3
10.1.2021 14:42:34,Yes,Under 15,Male,Controller,It depends on the videogame,Yes,No,Yes,Yes,4,4,4,4,5,5,2,2,5,4,3,3,1,2,4,5,3,5,1,4
10.1.2021 14:43:20,Yes,20-24,Male,It depends on the videogame,PC,No,No,No,I am not sure,4,4,3,4,5,5,1,5,4,5,3,3,1,5,5,5,5,5,2,4
10.1.2021 14:46:56,Yes,25-29,Male,It depends on the videogame,Both equally,Yes,I am not sure,Yes,Yes,4,5,4,1,2,1,2,3,4,4,2,5,2,2,1,3,3,5,3,3
10.1.2021 14:49:58,Yes,25-29,Male,Mouse and Keyboard,PC,No,I am not sure,Yes,Yes,4,4,5,5,4,2,5,1,4,3,4,3,1,5,5,5,4,4,3,5
10.1.2021 14:56:51,Yes,20-24,Male,Controller,PC,Yes,No,No,No,4,4,3,4,4,3,1,3,5,4,4,4,1,5,5,1,1,2,1,2
10.1.2021 14:58:24,Yes,20-24,Male,Mouse and Keyboard,PC,Yes,No,No,No,5,5,4,4,5,2,2,2,5,4,4,3,1,4,4,5,5,4,2,4
10.1.2021 14:59:28,Yes,20-24,Male,It depends on the videogame,PC,Yes,No,Yes,I am not sure,4,5,5,3,1,1,1,3,3,5,1,5,1,5,5,1,1,3,1,5
